iter	thetaS	mu	kappa	phi	moveType	accepted	likelihood	alpha	nblocks	nrblocks	param0	param1	omega0	rho0
1970	1.49819e-05	5.93726e-06	74.5643	0	8	0	-6060.09	-0.937698	1	1	0	2.65953e+26	320.534	6.7927e+26
1980	2.40257e-05	7.73591e-06	92.0408	0	6	0	-6062.37	-2.57101	1	1	3.21542e-06	47.3355	82.9365	2.64894e+27
1990	6.94083e-05	2.24779e-05	91.5039	0	8	0	-6060.2	-0.834176	1	1	0	8.74472e+26	54.2339	2.01384e+27
2000	5.22412e-05	2.24779e-05	68.5845	0	8	1	-6061.19	0.790656	1	1	0	4.55407e+27	24.2051	4.55407e+27
2010	7.98878e-05	3.43735e-05	68.5845	0	2	1	-6060.12	0.75065	1	1	0	64.7814	64.7814	6.90137e+27
2020	6.67736e-05	2.87308e-05	68.5845	0	2	1	-6059.98	0.215002	1	1	0	65.3026	65.3026	8.69089e+27
2030	8.83008e-05	3.79934e-05	68.5845	0	6	1	-6060.27	-0.0166761	1	1	3.79934e-05	151.964	65.3026	9.62536e+27
2040	8.83008e-05	3.79934e-05	68.5845	0	8	1	-6060.22	-0.218064	1	1	0	4.4061e+27	63.3606	4.4061e+27
2050	1.1011e-05	1.18172e-05	26.801	0	2	0	-6061.26	-2.56117	1	1	0	74.8955	181.057	4.4061e+27
2060	1.60456e-05	1.72204e-05	26.801	0	8	1	-6059.63	-0.343308	1	1	0	5.01399e+27	382.103	5.01399e+27
2070	7.02802e-06	1.72204e-05	11.0863	0	7	1	-6058.79	-0.0666978	1	1	11.0863	1.61845e+27	330.898	2.77949e+27
2080	9.23536e-06	1.72204e-05	14.933	0	8	0	-6058.78	-0.920944	1	1	0	6.66086e+26	330.898	1.67298e+27
2090	9.73772e-06	2.0838e-05	12.8624	0	6	1	-6059.46	0.533113	1	1	2.0838e-05	110.002	156.127	2.80992e+27
